delivery_date,wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours,year,month,day_of_week,is_monday,is_saturday,week_of_year,season,total_inventory,wings_ratio,protein_ratio,sides_ratio,beverages_ratio,wings_lag1,wings_lag2,tenders_lag1,tenders_lag2,total_inventory_lag1,total_inventory_lag2,total_inventory_rolling_mean,wings_rolling_std,reconstruction_error,is_anomaly
2024-10-14,3613,581,115,116,111,382,199,625,2024,10,0,1,0,42,fall,5742,0.6292232671543017,0.7304075235109718,0.05956112852664577,0.03465691396725879,5906.0,5630.0,769.0,1012.0,8985.0,8734.0,8650.75,979.8504562772147,0.04640784076060407,True
2024-10-19,5676,718,125,145,135,457,219,797,2024,10,5,0,1,42,fall,8272,0.6861702127659575,0.7729690522243714,0.048960348162475825,0.026474854932301742,3613.0,5906.0,581.0,769.0,5742.0,8985.0,8388.0,1293.759991909885,0.022904166595598328,False
2024-10-21,4758,606,136,150,137,477,182,715,2024,10,0,1,0,43,fall,7161,0.6644323418516966,0.7490573942186846,0.059069962295768746,0.02541544477028348,5676.0,3613.0,718.0,581.0,8272.0,5742.0,7933.25,1069.0065091788103,0.010457263745530167,False
2024-10-26,4575,811,114,195,191,569,246,727,2024,10,5,0,1,43,fall,7428,0.6159127625201939,0.7250942380183091,0.06731287022078622,0.033117932148626815,4758.0,5676.0,606.0,718.0,7161.0,8272.0,7540.0,1042.3679372787067,0.012984307387514323,False
2024-10-28,4680,608,142,126,115,438,194,716,2024,10,0,1,0,44,fall,7019,0.6667616469582561,0.7533836728878758,0.054566177518164984,0.0276392648525431,4575.0,4758.0,811.0,606.0,7428.0,7161.0,7150.75,845.6187084023147,0.007959804366973997,False
2024-11-02,5043,531,136,144,144,473,228,746,2024,11,5,0,1,44,fall,7445,0.677367360644728,0.7486903962390866,0.056950973807924785,0.030624580255204835,4680.0,4575.0,608.0,811.0,7019.0,7428.0,7470.0,508.0632342533743,0.00941724598926018,False
2024-11-04,5624,664,112,192,181,571,180,794,2024,11,0,1,0,45,fall,8318,0.6761240682856456,0.7559509497475355,0.058307285405145466,0.021639817263765328,5043.0,4680.0,531.0,608.0,7445.0,7019.0,7263.25,200.54425945411418,0.04685380657109174,True
2024-11-09,5412,702,175,133,123,495,253,841,2024,11,5,0,1,45,fall,8134,0.6653552987460044,0.7516597000245882,0.052987460044258666,0.031104007868207523,5624.0,5043.0,664.0,531.0,8318.0,7445.0,7552.5,473.54302866793324,0.01345002120637336,False
2024-11-11,5894,850,151,233,220,675,285,901,2024,11,0,1,0,46,fall,9209,0.6400260614616137,0.7323270713432511,0.06558801172765773,0.030947985666196113,5412.0,5624.0,702.0,664.0,8134.0,8318.0,7729.0,416.0724095635266,0.020113236698734833,False
2024-11-16,5073,661,130,168,157,524,218,777,2024,11,5,0,1,46,fall,7708,0.6581473793461339,0.7439024390243902,0.0590295796574987,0.02828230409963674,5894.0,5412.0,850.0,702.0,9209.0,8134.0,8276.5,359.17625663917744,0.01290638292037231,False
2024-11-18,4535,721,108,172,165,493,194,687,2024,11,0,1,0,47,fall,7075,0.6409893992932862,0.7428975265017668,0.06289752650176679,0.027420494699646643,5073.0,5894.0,661.0,850.0,7708.0,9209.0,8342.25,346.73849416142457,0.0075271361715857545,False
2024-11-23,5370,904,152,168,162,554,248,868,2024,11,5,0,1,47,fall,8426,0.6373130785663422,0.7446000474721102,0.05720389271303109,0.029432708283883217,4535.0,5073.0,721.0,661.0,7075.0,7708.0,8031.5,572.038751601089,0.015362249268636212,False
2024-11-25,5100,710,134,183,173,565,216,798,2024,11,0,1,0,48,fall,7879,0.6472902652620891,0.7374032237593603,0.06219063332910268,0.027414646528747304,5370.0,4535.0,904.0,721.0,8426.0,7075.0,8104.5,567.9184213717075,0.01259007427811712,False
2024-11-30,4382,839,118,134,130,437,178,717,2024,11,5,0,1,48,fall,6935,0.6318673395818313,0.7528478731074261,0.05508291276135544,0.025666906993511176,5100.0,5370.0,710.0,904.0,7879.0,8426.0,7772.0,349.7298957767252,0.0058641227246690915,False
2024-12-02,4660,619,140,160,157,497,228,713,2024,12,0,1,0,49,winter,7174,0.6495678840256481,0.7358516866462225,0.0637022581544466,0.031781432952327854,4382.0,5100.0,839.0,710.0,6935.0,7879.0,7578.75,465.87077965175325,0.006888521489107384,False
2024-12-07,5311,720,150,140,131,473,220,808,2024,12,5,0,1,49,winter,7953,0.6677983151012197,0.7583301898654595,0.05293599899409028,0.027662517289073305,4660.0,4382.0,619.0,839.0,7174.0,6935.0,7603.5,441.54576961699655,0.009604531196168015,False
2024-12-09,4643,878,144,119,116,429,222,751,2024,12,0,1,0,50,winter,7302,0.635853190906601,0.7560942207614352,0.05190358805806628,0.030402629416598194,5311.0,4660.0,720.0,619.0,7953.0,7174.0,7485.25,420.0963183207701,0.01466889227851668,False
2024-12-14,3637,551,185,98,98,418,261,688,2024,12,5,0,1,50,winter,5936,0.6127021563342318,0.7055256064690026,0.06418463611859838,0.04396900269541779,4643.0,5311.0,878.0,720.0,7302.0,7953.0,7341.0,395.6808478222473,0.015368446510342184,False
2024-12-16,4511,619,112,111,103,385,158,683,2024,12,0,1,0,51,winter,6682,0.6750972762645915,0.7677342113139779,0.04878778808739898,0.0236456150853038,3637.0,4643.0,551.0,878.0,5936.0,7302.0,7091.25,691.0833886008251,0.06863381938884729,True
2024-12-21,5950,891,152,191,183,599,230,905,2024,12,5,0,1,51,winter,9101,0.653774310515328,0.7516756400395561,0.05779584661026261,0.0252719481375673,4511.0,3637.0,619.0,551.0,6682.0,5936.0,6968.25,688.1034321476186,0.015669914172375725,False
